_id,_importdate,case_t,district,case_f,build_name,location,landa,landa_z,sdate,scnt,trans_target,sbuild,tbuild,buitype,pbuild,mbuild,fdate,farea,build_r,build_l,build_b,build_p,rule,build_c,tprice,uprice,upnote,parktype,parea,pprice,elevator,mb_area,sb_area,pu_area,rmnote,longitude,latitude,metro_in500,metro_in1000,metro_in1500
65,"{'date': '2024-12-18 10:34:28.553385', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市錦西街8號五樓,0.0,,1131107,土地:建物:車位:,,五層,7.0,華廈(10層含以下有電梯),住家用,,,14.91,15.0,5.0,10.0,有,無,有,2,1341.38,否,,0.0,0,,,,,,121.5217006,25.0601543,3,8,13
66,"{'date': '2024-12-18 10:34:28.555097', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,萬華區,房地(土地+建物)+車位,龍邦豐馥,臺北市萬華區西園路二段,4.18,,1131027,土地:34建物:1車位:1,1棟B6-11F號,十一層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,,43.56,2.0,2.0,2.0,有,,,2900,86.45,否,坡道平面1,13.66,315,,17.12,2.73,23.71,,121.49519,25.02820049999998,0,1,1
67,"{'date': '2024-12-18 10:34:28.556883', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市信義路四段265巷17之1號四樓之8,1.79,,1131106,土地:1建物:1車位:,,四層,13.0,住宅大樓(11層含以上有電梯),見其他登記事項,,,9.53,,,,無,有,有,2,2518.36,否,,0.0,0,,,,,,121.5547004,25.03420699999999,1,3,13
68,"{'date': '2024-12-18 10:34:28.558127', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市通河街325巷64號之1,0.0,,1131106,土地:建物:1車位:,,一層,5.0,公寓(無電梯),住家用,,,8.92,1.0,0.0,1.0,有,有,有,2,1793.72,否,,0.0,0,,,,,其他：續租案件。,121.5183967,25.08200119999999,0,1,3
69,"{'date': '2024-12-18 10:34:28.559498', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市松江路150巷7號三樓,0.0,,1130910,土地:建物:車位:,,三層,4.0,公寓(無電梯),住家用,,,13.79,5.0,0.0,5.0,有,無,有,2,1232.78,否,,0.0,0,,,,,租金：含下列其他衍生費用：水費、網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,121.5322326,25.05413340000003,2,4,17
70,"{'date': '2024-12-18 10:34:28.560804', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市合江街36巷34號一樓,0.0,,1131104,土地:建物:車位:,,一層,5.0,公寓(無電梯),住家用,,,4.24,5.0,1.0,4.0,有,無,有,1,2712.26,否,,0.0,0,,,,,其他：續租案件。,121.5380946,25.05538870000002,0,7,9
71,"{'date': '2024-12-18 10:34:28.562113', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市松江路150巷7號三樓,0.0,,1131010,土地:建物:車位:,,三層,4.0,公寓(無電梯),住家用,,,13.79,5.0,0.0,5.0,有,無,有,2,1290.79,否,,0.0,0,,,,,租賃標的：租賃建物部分範圍，且未計入共有部分面積。,121.5322326,25.05413340000003,2,4,17
72,"{'date': '2024-12-18 10:34:28.563630', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,南港區,車位,,臺北市忠孝東路六段130之1號等共有部分,0.31,,1131120,土地:1建物:1車位:3,,"一層,地下一層",,,見其他登記事項,,,1.88,,,,無,有,,247,0.0,-,塔式車位3,0.0,0,有,,,,僅車位交易。,121.5853696,25.047891,1,3,4
73,"{'date': '2024-12-18 10:34:28.564962', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,車位,,臺北市大安路二段68號等共有部分,0.08,,1131112,土地:1建物:1車位:1,,"一層,地下一層,地下二層,地下三層",,,停車空間,,,7.43,,,,無,有,,320,0.0,-,坡道平面1,7.43,320,有,,,,僅車位交易。,121.545917,25.03216839999999,4,6,11
74,"{'date': '2024-12-18 10:34:28.566322', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,南港區,土地,,臺北市中南段四小段0297-0000地號,7.3,,1131030,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,565,77.4,-,,0.0,0,無,,,,土地上有：未登記建物。,121.6071584,25.05633309999998,1,4,8
75,"{'date': '2024-12-18 10:34:28.567629', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市遼寧街113號三樓,0.0,,1131105,土地:建物:1車位:,,三層,5.0,公寓(無電梯),住家用,,,9.93,1.0,1.0,1.0,有,無,有,1,1409.87,否,,0.0,0,,,,,,121.5417546,25.05127709999999,3,5,15
76,"{'date': '2024-12-18 10:34:28.569051', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,文山區,房屋,,臺北市萬安街22巷13弄34號,0.0,,1131101,土地:建物:1車位:,,一層,5.0,公寓(無電梯),見其他登記事項,,,36.21,3.0,2.0,1.0,有,無,有,3,814.69,否,,0.0,0,,,,,,121.570001,24.99954090000001,1,1,4
77,"{'date': '2024-12-18 10:34:28.570519', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市師大路129號二樓之5,0.0,,1131101,土地:建物:車位:,,二層,7.0,華廈(10層含以下有電梯),見使用執照,,,6.0,2.0,0.0,1.0,有,有,無,2,3500.0,否,,0.0,0,,,,,租金：含下列其他衍生費用：管理費、水費、瓦斯費、網路費。,121.5281934,25.02167009999998,1,3,7
78,"{'date': '2024-12-18 10:34:28.572181', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市中和街493巷4號三樓,0.0,,1131106,土地:建物:車位:,,三層,5.0,公寓(無電梯),住家用,,,6.54,4.0,0.0,4.0,有,無,有,1,840.98,否,,0.0,0,,,,,,121.4947888,25.14499139999999,0,0,2
79,"{'date': '2024-12-18 10:34:28.573594', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物)+車位,,臺北市忠孝東路五段236巷60號十五樓,46.94,,1130514,土地:1建物:1車位:3,,十五層,,大樓(11層含以上有電梯),住家用,,,227.46,,,,無,有,,44588,221.1,否,坡道平面3,38.01,2700,有,,,,,121.5714158,25.03718660000001,0,4,5
80,"{'date': '2024-12-18 10:34:28.574949', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,房地(土地+建物)+車位,,臺北市榮華二路25號十一樓,8.0,,1130618,土地:1建物:1車位:1,,十一層,,大樓(11層含以上有電梯),見其他登記事項,,,51.9,3.0,2.0,2.0,有,有,,5050,116.45,否,坡道平面1,11.28,320,有,,,,,121.5231863,25.11341809999999,0,1,3
81,"{'date': '2024-12-18 10:34:28.576457', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,松山區,房屋,,臺北市民生東路五段151號五樓之9,0.0,,1131103,土地:建物:1車位:,,五層,15.0,住宅大樓(11層含以上有電梯),商業用,,,23.4,2.0,2.0,1.0,有,有,有,3,1282.05,否,,0.0,0,,,,,,121.5621851,25.059107,0,1,3
82,"{'date': '2024-12-18 10:34:28.579514', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市中山北路二段137巷34號十樓之1,2.53,,1131129,土地:1建物:1車位:,,十層,,華廈(10層含以下有電梯),住家用,,,12.51,1.0,1.0,1.0,有,有,,720,57.55,否,,0.0,0,有,,,,建築物含有：陽台外推。,120.2989234,22.63770779999999,0,0,0
83,"{'date': '2024-12-18 10:34:28.580859', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市瑞安街208巷47弄3號,0.0,,1131101,土地:建物:1車位:,,一層,4.0,公寓(無電梯),住家用,,,26.02,,,,無,無,無,6,2113.76,否,,0.0,0,,,,,,121.5407896,25.030091,4,6,15
84,"{'date': '2024-12-18 10:34:28.582337', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市承德路四段3巷30號四樓,0.0,,1130910,土地:建物:車位:,,四層,5.0,公寓(無電梯),,,,5.14,7.0,0.0,7.0,有,無,有,1,2003.89,否,,0.0,0,,,,,租金：含下列其他衍生費用：水費、瓦斯費、網路費、其他-有線電視。,121.5224104,25.07851529999997,0,2,2
85,"{'date': '2024-12-18 10:34:28.583834', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,北投區,房地(土地+建物)+車位,遠雄泱玥,臺北市北投區福真路,13.2,,1131009,土地:1建物:1車位:2,A05棟F23號,二十三層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,89.74,4.0,2.0,3.0,有,,,11322,143.88,否,坡道平面2,15.74,675,,42.67,5.43,41.64,,121.5053002,25.09818089999997,0,0,0
86,"{'date': '2024-12-18 10:34:28.585338', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,信義區,房屋,,臺北市松德路25巷31之1號,0.0,,1131105,土地:建物:1車位:,,一層,7.0,華廈(10層含以下有電梯),住家用,,,23.68,4.0,2.0,2.0,有,有,有,4,1482.26,否,,0.0,0,,,,,其他：為台北市社會住宅包租代管計畫之物件，評定市價租金為＄39000，因選擇代租方案須打九折，且簽約租約無條件捨至百分位，實際租賃金額為＄35100。。,121.5776714,25.03805140000001,1,2,5
87,"{'date': '2024-12-18 10:34:28.586747', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,松山區,房屋,,臺北市八德路四段581號十二樓,0.0,,1131107,土地:建物:1車位:,,十二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,,,28.04,2.0,2.0,1.0,有,有,無,7,2496.43,否,,0.0,0,,,,,租金：含下列其他衍生費用：網路費。,121.5738538,25.05011099999999,1,1,4
88,"{'date': '2024-12-18 10:34:28.588314', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市大興街64號三樓,0.0,,1131102,土地:建物:1車位:,,三層,5.0,公寓(無電梯),住家用,,,19.06,2.0,1.0,1.0,有,無,無,2,1206.72,否,,0.0,0,,,,,,121.5007007,25.13048769999999,1,2,2
89,"{'date': '2024-12-18 10:34:28.589753', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,文山區,房屋,,臺北市萬美街二段51號二樓,0.0,,1131107,土地:建物:1車位:,,二層,12.0,住宅大樓(11層含以上有電梯),住家用,,,39.46,3.0,2.0,2.0,有,有,有,2,506.84,否,,0.0,0,,,,,其他：續租案件。,121.5641712,25.0053089,0,3,3
90,"{'date': '2024-12-18 10:34:28.591291', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,5.36,,1131019,土地:6建物:1車位:1,0棟A3-7F號,七層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.81,3.0,2.0,2.0,有,,,4652,110.04,否,坡道平面1,11.17,290,,24.0,1.59,25.21,,121.5715037999999,25.08608229999997,0,2,2
91,"{'date': '2024-12-18 10:34:28.592946', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,房地(土地+建物),,臺北市八德路三段12巷51弄27號三樓,9.38,,1131024,土地:5建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,30.49,3.0,1.0,1.0,有,無,,1800,59.04,否,,0.0,0,無,,,,,121.5519851,25.04631599999998,0,5,12
92,"{'date': '2024-12-18 10:34:28.594504', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中正區,房屋,,臺北市南昌路一段55號,0.0,,1131031,土地:建物:1車位:,,見其他登記事項,12.0,住宅大樓(11層含以上有電梯),商業用,,,89.18,8.0,2.0,2.0,有,有,無,23,2551.65,否,,0.0,0,,,,,"租金：含稅。租賃標的：租賃期間有約定不同租金-免租期間113年12月1日至113年12月31日
第一年至第三年227556元整
第四年至第七年238933元整
第八年至第十年250879元整。其他：外牆作為廣告使用。",121.51736,25.03129119999999,2,5,10
93,"{'date': '2024-12-18 10:34:28.596027', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,萬華區,房地(土地+建物)+車位,龍邦豐馥,臺北市萬華區西園路二段,5.16,,1131105,土地:34建物:1車位:1,1棟A2-4F號,四層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,,50.49,3.0,2.0,2.0,有,,,3382,83.0,否,坡道平面1,13.66,325,,21.28,3.13,26.08,,121.49519,25.02820049999998,0,1,1
94,"{'date': '2024-12-18 10:34:28.597455', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,萬華區,房地(土地+建物)+車位,龍邦豐馥,臺北市萬華區西園路二段,4.18,,1131029,土地:34建物:1車位:1,1棟B6-14F號,十四層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,,43.56,2.0,2.0,2.0,有,,,3035,90.97,否,坡道平面1,13.66,315,,17.12,2.73,23.71,,121.49519,25.02820049999998,0,1,1
95,"{'date': '2024-12-18 10:34:28.598895', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物)+車位,,臺北市中山北路七段114巷1號二樓之1,5.56,,1100408,土地:1建物:1車位:1,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,屋頂突出物,地下一層,地下二層",,華廈(10層含以下有電梯),見其他登記事項,,,35.63,2.0,1.0,1.0,有,有,,2467,86.0,否,其他1,9.27,200,有,,,,預售屋、或土地及建物分件登記案件。,121.532141,25.12215889999999,0,0,0
96,"{'date': '2024-12-18 10:34:28.600474', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,中正區,房地(土地+建物)+車位,南陽龍踞,臺北市中正區黎明里里南陽街,3.09,,1130802,土地:8建物:1車位:1,0棟A號,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,34.32,2.0,1.0,2.0,有,,,4651,141.14,否,塔式車位1,3.28,270,,17.11,2.16,15.05,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5155891,25.04447419999999,3,7,14
97,"{'date': '2024-12-18 10:34:28.602016', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,5.14,,1131020,土地:6建物:1車位:1,0棟A1-6F號,六層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,49.2,3.0,2.0,2.0,有,,,4483,109.99,否,坡道平面1,11.17,300,,22.61,1.94,24.64,,121.5715037999999,25.08608229999997,0,2,2
98,"{'date': '2024-12-18 10:34:28.604197', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市中山北路二段46號五樓之2,0.0,,1131106,土地:建物:1車位:,,五層,12.0,辦公商業大樓,商業用,,,31.14,1.0,1.0,0.0,有,有,無,6,1901.09,否,,0.0,0,,,,,租金：含稅。,121.5224868,25.05562109999998,5,8,16
99,"{'date': '2024-12-18 10:34:28.606678', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市林森北路259巷9號七樓之6,0.0,,1131101,土地:建物:1車位:,,七層,7.0,華廈(10層含以下有電梯),住家用,,,8.18,1.0,0.0,1.0,有,有,有,2,1833.74,否,,0.0,0,,,,,,121.5263751,25.0544021,0,9,14
100,"{'date': '2024-12-18 10:34:28.608694', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,吾雙,臺北市大安區信義路四段408號,5.46,,1131009,土地:19建物:1車位:1,A棟A3-30F號,三十層,31.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,69.8,3.0,2.0,2.0,有,,,13413,218.13,否,坡道平面1,10.83,550,,34.43,6.02,29.35,雨遮計坪不計價,121.5570157,25.03288339999999,1,3,9
101,"{'date': '2024-12-18 10:34:28.610300', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市泉源路39之34號四樓,0.0,,1131101,土地:建物:1車位:,,四層,7.0,華廈(10層含以下有電梯),住家用,,,22.11,2.0,1.0,1.0,有,有,有,2,814.11,否,,0.0,0,,,,,,121.5083405,25.14128880000003,0,1,1
102,"{'date': '2024-12-18 10:34:28.611906', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,萬華區,房地(土地+建物)+車位,龍邦豐馥,臺北市萬華區西園路二段,3.51,,1131023,土地:34建物:1車位:1,1棟B4-6F號,六層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,,38.59,2.0,2.0,2.0,有,,,2400,83.63,否,坡道平面1,13.66,315,,14.84,1.72,22.03,,121.49519,25.02820049999998,0,1,1
103,"{'date': '2024-12-18 10:34:28.613566', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,土地,,臺北市富安段二小段0246-0000地號,45.87,,1131112,土地:8建物:0車位:,,,,,,,,0.0,,,,無,無,,1124,24.5,-,,0.0,0,無,,,,,121.519491,25.07153800000001,1,3,5
104,"{'date': '2024-12-18 10:34:28.615263', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物)+車位,,臺北市西園路一段80號八樓之6,4.42,,1130926,土地:1建物:1車位:1,,八層,,大樓(11層含以上有電梯),住家用,,,52.71,3.0,2.0,1.0,有,有,,709,13.45,是,坡道平面1,0.0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.4997291,25.03921949999998,1,3,4
105,"{'date': '2024-12-18 10:34:28.616901', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,信義區,房地(土地+建物)+車位,吉祥．如藝,臺北市信義區基隆路一段,1.54,,1131103,土地:10建物:1車位:1,A棟2號,十六層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,29.86,2.0,2.0,1.0,有,,,3398,139.33,否,坡道平面1,8.45,415,,12.78,1.37,15.71,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5647643,25.04187739999999,1,3,6
106,"{'date': '2024-12-18 10:34:28.618383', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,信義區,房屋+車位,,臺北市信義路五段91巷12弄1號六樓之8,4.97,,1131106,土地:1建物:1車位:1,,六層,7.0,華廈(10層含以下有電梯),住家用,,,33.61,1.0,1.0,1.0,有,有,無,6,1785.18,是,坡道平面1,0.0,0,,,,,其他：車位面積無法分算。,121.5715572,25.0337559,1,3,4
107,"{'date': '2024-12-18 10:34:28.619851', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,3.64,,1131019,土地:6建物:1車位:1,0棟A5-7F號,七層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,38.09,2.0,2.0,1.0,有,,,3197,109.1,否,坡道平面1,11.17,260,,14.82,2.56,20.71,,121.5715037999999,25.08608229999997,0,2,2
108,"{'date': '2024-12-18 10:34:28.621452', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,土地,,臺北市莒光段三小段0150-0001地號,2.12,,1131009,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,271,127.83,-,,0.0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。,121.5654268,25.0329636,2,3,6
109,"{'date': '2024-12-18 10:34:28.622935', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,南港區,房屋,,臺北市成福路168號二樓之4,0.0,,1131106,土地:建物:1車位:,,二層,6.0,華廈(10層含以下有電梯),住家用,,,20.58,1.0,0.0,1.0,有,有,有,2,777.45,否,,0.0,0,,,,,,121.5875729,25.04159600000001,0,1,4
110,"{'date': '2024-12-18 10:34:28.624427', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市臥龍街151巷7號四樓,0.0,,1131102,土地:建物:車位:,,四層,4.0,公寓(無電梯),住家用,,,15.92,4.0,2.0,2.0,有,無,有,3,1940.95,否,,0.0,0,,,,,承租人：多人共同承租，共2人。租金：含下列其他衍生費用：水費。,121.551359,25.01867720000003,0,1,2
111,"{'date': '2024-12-18 10:34:28.625821', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,房地(土地+建物),,臺北市民生東路三段113巷6弄13號三樓,8.27,,1130713,土地:1建物:1車位:,,三層,,華廈(10層含以下有電梯),住家用,,,42.5,3.0,2.0,2.0,有,有,,3690,86.82,否,,0.0,0,有,,,,建築物含有：其他增建。,121.5454647,25.05866480000002,1,5,10
112,"{'date': '2024-12-18 10:34:28.627266', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市西藏路115巷4弄5號三樓,13.46,,1131006,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),,,,32.62,4.0,2.0,2.0,有,無,,1920,58.86,否,,0.0,0,無,,,,,121.5027354,25.02897349999999,0,1,2
113,"{'date': '2024-12-18 10:34:28.628692', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市至誠路二段129號四樓,9.91,,1131101,土地:1建物:1車位:,,四層,,公寓(5樓含以下無電梯),住家用,,,22.12,2.0,2.0,1.0,有,無,,1388,62.75,否,,0.0,0,無,,,,建築物含有：其他增建。,121.5268343,25.1009694,1,2,3
114,"{'date': '2024-12-18 10:34:28.630110', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中正區,房屋,,臺北市中華路二段299號六樓之13,0.0,,1131105,土地:0建物:1車位:,,六層,6.0,公寓(無電梯),住家用,,,9.89,1.0,0.0,1.0,有,無,有,1,1365.02,否,,0.0,0,,,,,其他：續租案件。,121.5045185,25.02966959999999,0,2,6
